,Employee_ID,Age,Gender,Education_Level,Industry,Job_Role,Years_Experience,AI_Adoption_Level,Automation_Risk,Upskilling_Required,Salary_Before_AI,Salary_After_AI,Job_Status,Work_Hours_Per_Week,Remote_Work,Job_Satisfaction,Productivity_Change_%,Salary_Change,Salary_Change_%,Experience_Level,Impact_Level,Is_Replaced
0,E0001,50,Female,Bachelor,Marketing,Content creator,26,High,High,True,106820,95455,Replaced,45,False,5,-10.64,-11365,-10.63939337202771,Senior,High,True
1,E0002,45,Male,High school,Manufacturing,Quality inspector,19,Low,Low,True,74131,72013,Unchanged,36,True,6,19.05,-2118,-2.857104315333666,Senior,Low,False
2,E0003,51,Female,Master,It,Devops engineer,28,Medium,Medium,True,35311,42290,Modified,46,True,3,17.05,6979,19.764379371867125,Senior,Medium,False
3,E0004,48,Male,Phd,Education,Teacher,24,Medium,Medium,True,114478,107820,Modified,50,False,9,-2.47,-6658,-5.815964639494052,Senior,Medium,False
4,E0005,24,Male,Bachelor,Healthcare,Doctor,0,High,Medium,False,33890,40945,Modified,52,True,6,7.03,7055,20.817350250811447,Junior,Medium,False
5,E0006,46,Male,High school,Healthcare,Technician,21,Low,Medium,False,103969,104781,Modified,36,False,6,-19.04,812,0.7810020294510863,Senior,Medium,False
6,E0007,49,Male,Phd,Education,Administrator,24,High,Medium,False,78555,86183,Modified,48,True,3,-17.94,7628,9.710393991470943,Senior,Medium,False
7,E0008,57,Male,Bachelor,Finance,Auditor,34,Low,High,False,99479,105776,Unchanged,44,True,6,5.51,6297,6.329979191588174,Senior,High,False
8,E0009,50,Other,Bachelor,Education,Professor,27,Low,High,True,102409,104197,Unchanged,38,False,8,3.71,1788,1.7459402982159773,Senior,High,False
9,E0010,52,Male,High school,Healthcare,Nurse,27,High,Low,True,31016,42699,Unchanged,47,True,4,30.67,11683,37.66765540366263,Senior,Low,False
10,E0011,45,Female,High school,Retail,Store manager,22,Medium,High,False,93704,92231,Unchanged,43,False,7,12.56,-1473,-1.5719713139246991,Senior,High,False
11,E0012,36,Other,Master,Healthcare,Nurse,10,High,Low,True,78984,109956,Unchanged,46,False,9,26.33,30972,39.21300516560316,Senior,Low,False
12,E0013,32,Other,Bachelor,Healthcare,Nurse,8,High,High,False,69504,85267,Modified,39,False,4,27.41,15763,22.67927025782689,Senior,High,False
13,E0014,49,Female,High school,Marketing,Content creator,27,High,Low,True,60535,64752,Unchanged,39,True,5,-14.28,4217,6.9662178904765835,Senior,Low,False
14,E0015,43,Other,Master,Education,Professor,19,Medium,High,True,100592,102088,Unchanged,37,False,3,38.3,1496,1.4871958008589152,Senior,High,False
15,E0016,26,Other,Bachelor,Education,Administrator,3,Low,Medium,True,36910,36482,Modified,49,True,9,-17.57,-428,-1.1595773503115687,Mid,Medium,False
16,E0017,47,Other,Phd,Education,Teacher,24,High,Medium,True,53419,46193,Modified,41,True,3,-18.11,-7226,-13.52702222055823,Senior,Medium,False
17,E0018,53,Other,Bachelor,Education,Teacher,28,High,High,True,48141,42537,Replaced,49,False,5,16.27,-5604,-11.640805134916183,Senior,High,True
18,E0019,50,Male,Bachelor,Education,Administrator,25,Medium,High,False,85820,79219,Unchanged,36,True,4,-2.61,-6601,-7.6916802610114186,Senior,High,False
19,E0020,27,Female,Phd,Healthcare,Nurse,2,Medium,Low,False,99163,101637,Unchanged,41,False,8,33.0,2474,2.4948821637102547,Junior,Low,False
20,E0021,54,Other,High school,Manufacturing,Quality inspector,32,Low,Medium,True,96842,98204,Modified,43,False,5,29.08,1362,1.4064145721897525,Senior,Medium,False
21,E0022,27,Male,Phd,Healthcare,Technician,3,Low,Medium,False,33748,35565,Modified,49,False,5,-3.84,1817,5.3840227569041135,Mid,Medium,False
22,E0023,53,Other,Master,Education,Teacher,31,Low,High,False,84384,80986,Unchanged,46,True,8,-4.77,-3398,-4.0268297307546455,Senior,High,False
23,E0024,23,Female,Phd,Retail,Store manager,0,High,High,False,53664,47699,Modified,51,True,4,39.86,-5965,-11.115459153249851,Junior,High,False
24,E0025,23,Female,High school,Finance,Accountant,0,Medium,High,False,30854,30347,Unchanged,53,True,8,34.5,-507,-1.6432229208530498,Junior,High,False
25,E0026,23,Female,Master,Retail,Sales associate,0,Low,High,False,80859,82247,Unchanged,38,True,9,13.17,1388,1.7165683473701134,Junior,High,False
